House_ID,State,City,Property_Type,Bedrooms,Bathrooms,Area_sqm,Age_Years,Parking_Spaces,Price_NGN
H0579,Benue,Makurdi,Bungalow,6,6,741,32,3,82700000
H0350,Kogi,Lokoja,Terrace Duplex,4,3,429,12,1,75300000
H0263,Kwara,Ilorin,Semi-Detached Duplex,1,2,193,17,5,43200000
H0083,Ebonyi,Abakaliki,Flat,1,2,724,27,1,65500000
H0948,Kano,Kano,Semi-Detached Duplex,1,1,681,28,6,124900000
H0124,Sokoto,Sokoto,Flat,7,7,404,24,4,43200000
H0862,Kaduna,Zaria,Detached Duplex,4,5,599,18,1,167000000
H0291,Kogi,Okene,Terrace Duplex,1,1,270,15,4,44100000
H0755,Ebonyi,Abakaliki,Detached Duplex,3,3,207,18,3,52200000
H0554,Anambra,Onitsha,Terrace Duplex,5,5,104,30,1,58800000
H0828,Delta,Asaba,Semi-Detached Duplex,4,5,602,13,1,151300000
H0981,Bayelsa,Yenagoa,Flat,7,7,545,17,2,74300000
H0936,Kaduna,Kaduna,Detached Duplex,6,7,291,13,1,123600000
H0252,Ogun,Sagamu,Semi-Detached Duplex,3,3,320,29,2,82600000
H0599,Kebbi,Birnin Kebbi,Bungalow,1,1,446,10,4,45000000
H0027,Taraba,Jalingo,Flat,7,7,281,0,0,46400000
H0276,Kaduna,Kaduna,Semi-Detached Duplex,1,1,377,13,3,86300000
H0160,Akwa Ibom,Eket,Detached Duplex,4,5,775,6,1,207100000
H0706,Cross River,Calabar,Semi-Detached Duplex,1,1,716,26,2,110900000
H0608,Abia,Aba,Detached Duplex,1,2,692,22,4,156200000
H0622,Federal Capital Territory,Kuje,Terrace Duplex,6,5,409,28,1,175800000
H0785,Katsina,Katsina,Flat,6,7,484,4,6,56200000
H0440,Ebonyi,Abakaliki,Detached Duplex,6,6,366,26,2,100800000
H0655,Gombe,Gombe,Semi-Detached Duplex,7,6,137,13,5,51500000
H0786,Jigawa,Hadejia,Semi-Detached Duplex,1,2,471,24,4,61300000
H0588,Enugu,Nsukka,Flat,4,5,605,11,5,102500000
H0726,Enugu,Nsukka,Flat,3,3,534,25,3,79300000
H0797,Ekiti,Ado-Ekiti,Detached Duplex,2,2,308,18,1,58700000
H0759,Taraba,Jalingo,Detached Duplex,7,7,534,10,5,108400000
H0469,Gombe,Gombe,Flat,3,4,305,17,6,37800000
H0254,Kwara,Ilorin,Bungalow,7,7,380,11,4,77000000
H0534,Edo,Auchi,Bungalow,1,1,72,8,1,21100000
H0746,Borno,Maiduguri,Flat,7,7,754,2,1,77200000
H0311,Anambra,Awka,Flat,2,2,443,20,5,73900000
H0163,Kebbi,Birnin Kebbi,Detached Duplex,7,7,141,16,3,61100000
H0361,Benue,Makurdi,Terrace Duplex,1,1,535,34,2,57100000
H0221,Jigawa,Dutse,Detached Duplex,5,6,734,10,3,131200000
H0399,Sokoto,Sokoto,Semi-Detached Duplex,2,2,269,35,3,32800000
H0467,Gombe,Gombe,Flat,3,2,72,10,5,16200000
H0497,Akwa Ibom,Eket,Detached Duplex,4,3,588,29,1,136800000
H0314,Oyo,Ogbomoso,Bungalow,7,7,477,24,5,98600000
H0016,Osun,Osogbo,Terrace Duplex,2,2,168,2,6,41800000
H0931,Kwara,Ilorin,Bungalow,4,4,284,33,1,43100000
H0871,Gombe,Gombe,Semi-Detached Duplex,3,4,383,9,6,72400000
H0505,Kaduna,Kaduna,Flat,7,7,98,29,4,47000000
H0804,Enugu,Nsukka,Flat,4,4,655,3,0,114400000
H0368,Osun,Ile-Ife,Flat,1,2,57,0,5,19100000
H0285,Lagos,Ikeja,Detached Duplex,6,7,229,25,6,308700000
H0874,Plateau,Jos,Terrace Duplex,2,2,645,11,5,107500000
H0612,Enugu,Nsukka,Flat,6,5,400,20,2,70900000
H0119,Niger,Minna,Flat,6,6,214,6,1,45000000
H0102,Bayelsa,Yenagoa,Detached Duplex,1,1,768,35,0,127000000
H0452,Taraba,Jalingo,Flat,1,2,611,16,0,47900000
H0721,Lagos,Ikorodu,Semi-Detached Duplex,1,1,271,13,5,112800000
H0233,Osun,Ile-Ife,Terrace Duplex,1,1,138,23,6,30800000
H0783,Anambra,Awka,Terrace Duplex,2,2,329,16,1,71200000
H0648,Kogi,Okene,Flat,3,3,61,4,2,19000000
H0524,Rivers,Bonny,Bungalow,4,5,436,21,3,131400000
H0213,Adamawa,Yola,Flat,5,6,800,4,6,73800000
H0001,Borno,Maiduguri,Terrace Duplex,5,4,273,35,3,43200000
H0240,Plateau,Jos,Terrace Duplex,4,4,348,20,1,63500000
H0552,Zamfara,Gusau,Terrace Duplex,5,6,347,8,0,47600000
H0617,Ondo,Ondo,Detached Duplex,5,6,52,22,1,50100000
H0574,Ondo,Akure,Flat,5,5,73,24,0,26600000
H0173,Kogi,Lokoja,Flat,6,6,236,5,3,41600000
H0380,Ekiti,Ado-Ekiti,Semi-Detached Duplex,1,1,170,19,5,31500000
H0259,Osun,Ile-Ife,Semi-Detached Duplex,6,7,713,4,4,128000000
H0607,Kaduna,Kaduna,Detached Duplex,3,2,139,26,5,65800000
H0204,Taraba,Jalingo,Semi-Detached Duplex,4,3,65,10,1,25000000
H0693,Ebonyi,Abakaliki,Flat,6,6,79,19,5,32500000
H0152,Ekiti,Ado-Ekiti,Flat,4,4,255,20,1,37100000
H0876,Nasarawa,Lafia,Flat,2,3,222,1,2,35000000
H0589,Kaduna,Zaria,Semi-Detached Duplex,4,3,565,2,0,119700000
H0237,Taraba,Jalingo,Flat,1,1,623,17,5,50700000
H0188,Kwara,Ilorin,Flat,2,1,128,8,3,24000000
H0724,Borno,Maiduguri,Bungalow,4,3,696,17,6,79100000
H0269,Ogun,Ijebu-Ode,Detached Duplex,5,6,559,21,1,165100000
H0306,Kwara,Ilorin,Flat,1,1,620,5,4,78000000
H0969,Akwa Ibom,Uyo,Detached Duplex,6,6,181,14,3,94700000
H0092,Osun,Osogbo,Semi-Detached Duplex,6,7,673,30,4,100300000
H0438,Gombe,Gombe,Detached Duplex,5,5,146,21,6,54800000
H0428,Lagos,Ikorodu,Flat,3,3,65,34,0,44800000
H0688,Katsina,Katsina,Bungalow,2,3,243,2,2,37900000
H0149,Osun,Osogbo,Flat,4,4,198,17,5,38600000
H0075,Adamawa,Mubi,Detached Duplex,4,4,571,13,6,110700000
H0731,Gombe,Gombe,Detached Duplex,3,3,576,11,1,86700000
H0807,Anambra,Nnewi,Detached Duplex,1,1,459,20,1,139100000
H0385,Benue,Gboko,Bungalow,6,5,461,29,3,65100000
H0475,Ekiti,Ado-Ekiti,Bungalow,7,7,389,19,4,62400000
H0212,Kaduna,Kaduna,Terrace Duplex,3,2,567,13,2,101900000
H0861,Ogun,Abeokuta,Detached Duplex,7,7,572,34,4,165300000
H0017,Kaduna,Zaria,Detached Duplex,3,4,751,8,4,176400000
H0980,Osun,Osogbo,Detached Duplex,3,4,234,34,2,61500000
H0751,Bauchi,Bauchi,Terrace Duplex,4,3,554,4,0,78900000
H0696,Kogi,Okene,Flat,2,1,381,9,1,40200000
H0550,Sokoto,Sokoto,Detached Duplex,1,1,691,5,5,119100000
H0251,Gombe,Gombe,Terrace Duplex,6,7,624,20,6,94600000
H0409,Taraba,Jalingo,Detached Duplex,1,2,321,25,3,51200000
H0304,Benue,Gboko,Detached Duplex,1,1,747,8,1,118400000
H0586,Kwara,Ilorin,Detached Duplex,1,2,407,24,5,78200000
H0508,Jigawa,Dutse,Bungalow,2,2,78,18,5,17400000
H0825,Oyo,Ogbomoso,Semi-Detached Duplex,1,1,241,34,2,39000000
H0563,Abia,Aba,Bungalow,7,7,352,11,0,78300000
H0594,Niger,Minna,Terrace Duplex,4,4,141,33,5,36300000
H0819,Kaduna,Zaria,Detached Duplex,6,6,182,24,1,90800000
H0496,Kogi,Okene,Bungalow,7,7,574,12,2,91800000
H0714,Lagos,Surulere,Detached Duplex,7,7,293,35,6,287800000
H0165,Rivers,Bonny,Bungalow,1,1,416,12,4,112500000
H0338,Kebbi,Birnin Kebbi,Semi-Detached Duplex,5,6,420,12,0,59700000
H0543,Kano,Kano,Bungalow,6,7,524,16,2,106200000
H0890,Osun,Ile-Ife,Detached Duplex,7,6,283,15,5,88700000
H0053,Yobe,Damaturu,Terrace Duplex,2,2,153,20,3,21300000
H0019,Delta,Sapele,Flat,4,3,153,24,0,34400000
H0956,Lagos,Lekki,Flat,6,6,423,5,2,260200000
H0971,Nasarawa,Keffi,Semi-Detached Duplex,4,3,398,23,2,92400000
H0879,Ogun,Abeokuta,Detached Duplex,5,4,415,4,3,182700000
H0712,Kebbi,Birnin Kebbi,Flat,5,5,274,29,6,33000000
H0043,Plateau,Jos,Flat,6,6,453,23,6,58600000
H0175,Kano,Kano,Terrace Duplex,3,4,389,4,6,100100000
H0007,Rivers,Bonny,Flat,3,4,622,30,4,113300000
H0529,Adamawa,Yola,Detached Duplex,3,3,639,30,3,92300000
H0373,Delta,Warri,Semi-Detached Duplex,3,2,691,35,0,141900000
H0326,Abia,Umuahia,Semi-Detached Duplex,1,1,705,35,0,105900000
H0318,Sokoto,Sokoto,Semi-Detached Duplex,6,6,706,5,3,105800000
H0142,Nasarawa,Keffi,Detached Duplex,3,4,798,22,6,157400000
H0613,Ebonyi,Abakaliki,Bungalow,2,2,445,30,0,53500000
H0994,Edo,Auchi,Terrace Duplex,6,5,718,23,6,151100000
H0199,Gombe,Gombe,Bungalow,1,1,90,24,0,14600000
H0979,Niger,Minna,Semi-Detached Duplex,6,6,318,8,4,87300000
H0462,Delta,Sapele,Semi-Detached Duplex,1,1,525,33,1,104200000
H0604,Ebonyi,Abakaliki,Semi-Detached Duplex,4,4,793,22,1,108000000
H0040,Yobe,Damaturu,Bungalow,5,6,306,9,1,38400000
H0908,Borno,Maiduguri,Detached Duplex,4,3,387,0,2,74600000
H0596,Ondo,Ondo,Semi-Detached Duplex,7,7,707,11,0,159800000
H0507,Edo,Auchi,Semi-Detached Duplex,1,1,282,28,1,57400000
H0200,Borno,Maiduguri,Detached Duplex,1,1,168,29,4,27400000
H0690,Kaduna,Zaria,Flat,5,4,539,2,2,87700000
H0184,Plateau,Bukuru,Bungalow,6,5,475,25,6,64900000
H0444,Ekiti,Ado-Ekiti,Flat,5,5,256,10,4,46900000
H0006,Bayelsa,Yenagoa,Flat,5,6,164,27,4,37100000
H0367,Kogi,Okene,Detached Duplex,6,5,106,7,0,51200000
H0894,Nasarawa,Lafia,Flat,2,2,523,15,6,64800000
H0541,Cross River,Ikom,Semi-Detached Duplex,5,4,398,6,3,116400000
H0858,Bauchi,Bauchi,Detached Duplex,2,3,726,27,5,101700000
H0234,Kano,Kano,Semi-Detached Duplex,7,7,494,8,5,152600000
H0109,Cross River,Calabar,Flat,4,4,748,20,1,94400000
H0397,Gombe,Gombe,Flat,2,2,768,24,2,62600000
H0052,Yobe,Damaturu,Detached Duplex,1,1,428,4,2,60600000
H0809,Taraba,Jalingo,Bungalow,7,6,228,13,6,46900000
H0836,Adamawa,Yola,Detached Duplex,3,2,395,6,5,72600000
H0901,Katsina,Katsina,Bungalow,4,4,714,24,3,71100000
H0857,Benue,Gboko,Detached Duplex,6,6,343,19,3,91000000
H0844,Bauchi,Azare,Detached Duplex,2,2,719,12,6,125000000
H0180,Lagos,Ikorodu,Bungalow,6,5,617,0,0,221100000
H0502,Anambra,Nnewi,Bungalow,6,6,496,25,6,132000000
H0897,Katsina,Katsina,Flat,6,5,176,30,2,31800000
H0961,Osun,Ile-Ife,Flat,2,2,588,23,5,57100000
H0122,Ondo,Akure,Semi-Detached Duplex,4,5,742,3,4,143800000
H0331,Kogi,Lokoja,Semi-Detached Duplex,7,7,754,6,3,131600000
H0114,Sokoto,Sokoto,Detached Duplex,2,1,672,33,2,77700000
H0754,Bauchi,Azare,Terrace Duplex,4,3,174,7,2,38000000
H0243,Akwa Ibom,Uyo,Terrace Duplex,3,3,163,18,4,50700000
H0274,Plateau,Jos,Detached Duplex,7,7,641,11,4,152800000
H0128,Niger,Minna,Terrace Duplex,3,2,471,15,2,72300000
H0058,Oyo,Ibadan,Flat,3,3,464,24,1,57200000
H0480,Federal Capital Territory,Gwagwalada,Flat,6,6,737,20,2,214600000
H0518,Nasarawa,Keffi,Flat,2,3,508,22,0,55700000
H0089,Kwara,Ilorin,Flat,1,1,618,14,2,64200000
H0851,Zamfara,Gusau,Flat,2,2,373,19,3,26500000
H0355,Kogi,Okene,Detached Duplex,1,1,129,7,3,36100000
H0024,Adamawa,Yola,Terrace Duplex,2,2,209,11,3,31700000
H0282,Sokoto,Sokoto,Flat,1,1,757,21,6,55500000
H0485,Bayelsa,Yenagoa,Detached Duplex,6,6,193,23,3,79400000
H0063,Kwara,Ilorin,Detached Duplex,4,4,55,17,4,48300000
H0421,Kebbi,Birnin Kebbi,Terrace Duplex,7,7,674,25,1,75000000
H0349,Ekiti,Ado-Ekiti,Detached Duplex,6,7,719,11,0,141500000
H0634,Plateau,Jos,Detached Duplex,5,4,501,11,4,122300000
H0713,Katsina,Katsina,Semi-Detached Duplex,5,4,724,3,3,109200000
H0982,Nasarawa,Lafia,Detached Duplex,4,4,218,4,3,81600000
H0628,Osun,Osogbo,Bungalow,1,1,654,28,2,75700000
H0832,Enugu,Enugu,Detached Duplex,3,4,746,20,0,190600000
H0887,Yobe,Damaturu,Terrace Duplex,4,5,239,21,2,35500000
H0147,Gombe,Gombe,Bungalow,1,1,118,24,0,14200000
H0758,Borno,Maiduguri,Terrace Duplex,6,5,145,6,3,47500000
H0872,Osun,Ile-Ife,Semi-Detached Duplex,6,6,556,24,3,105200000
H0106,Rivers,Port Harcourt,Terrace Duplex,2,3,520,5,1,161600000
H0244,Abia,Umuahia,Detached Duplex,2,1,426,27,0,86600000
H0827,Kano,Kano,Flat,7,6,293,12,2,64500000
H0493,Zamfara,Gusau,Semi-Detached Duplex,4,4,100,18,1,25500000
H0045,Katsina,Katsina,Detached Duplex,4,4,541,0,2,120500000
H0168,Kwara,Ilorin,Semi-Detached Duplex,2,3,275,13,2,67800000
H0453,Kaduna,Kaduna,Terrace Duplex,3,4,98,26,2,37700000
H0294,Imo,Orlu,Semi-Detached Duplex,3,3,722,22,0,139200000
H0411,Abia,Umuahia,Semi-Detached Duplex,3,2,688,11,0,147000000
H0923,Kaduna,Kaduna,Semi-Detached Duplex,1,1,800,34,3,116400000
H0443,Enugu,Enugu,Bungalow,7,7,330,20,6,93800000
H0781,Kano,Kano,Terrace Duplex,2,3,547,22,6,116500000
H0275,Taraba,Jalingo,Detached Duplex,1,2,332,20,6,47900000
H0491,Edo,Auchi,Detached Duplex,2,2,488,27,1,123500000
H1000,Sokoto,Sokoto,Terrace Duplex,3,2,779,28,5,83500000
H0978,Edo,Auchi,Detached Duplex,2,2,349,19,0,92600000
H0593,Plateau,Bukuru,Semi-Detached Duplex,4,5,753,3,5,144400000
H0003,Kano,Kano,Semi-Detached Duplex,7,7,740,20,1,178100000
H0031,Kwara,Ilorin,Terrace Duplex,1,1,328,4,2,63500000
H0774,Katsina,Katsina,Flat,6,6,92,24,5,24900000
H0773,Bayelsa,Yenagoa,Terrace Duplex,6,7,208,28,1,50100000
H0426,Ebonyi,Abakaliki,Bungalow,7,7,673,33,5,88700000
H0810,Cross River,Ikom,Semi-Detached Duplex,3,2,536,23,3,111300000
H0284,Bauchi,Bauchi,Semi-Detached Duplex,2,1,782,19,5,88300000
H0299,Zamfara,Gusau,Bungalow,7,7,460,7,1,58600000
H0316,Enugu,Enugu,Terrace Duplex,2,1,371,19,0,81200000
H0877,Akwa Ibom,Uyo,Flat,2,2,445,23,2,68600000
H0393,Cross River,Ikom,Flat,5,5,642,32,4,71300000
H0929,Plateau,Bukuru,Bungalow,2,1,230,5,4,38400000
H0905,Cross River,Ikom,Detached Duplex,7,7,762,27,1,169400000
H0784,Anambra,Awka,Flat,6,7,324,10,0,73100000
H0898,Kebbi,Birnin Kebbi,Terrace Duplex,1,1,772,4,3,89800000
H0425,Kaduna,Kaduna,Terrace Duplex,2,2,555,5,4,105100000
H0691,Kano,Kano,Flat,2,2,69,33,0,19900000
H0930,Taraba,Jalingo,Terrace Duplex,6,6,663,9,1,82100000
H0492,Abia,Umuahia,Detached Duplex,2,1,81,9,4,43700000
H0671,Anambra,Awka,Bungalow,5,5,298,33,2,66500000
H0030,Kaduna,Kaduna,Detached Duplex,3,2,491,10,0,141900000
H0103,Zamfara,Gusau,Semi-Detached Duplex,6,7,572,2,6,103200000
H0626,Federal Capital Territory,Gwagwalada,Semi-Detached Duplex,2,2,527,21,2,234000000
H0733,Ekiti,Ado-Ekiti,Flat,4,3,465,24,3,52200000
H0337,Benue,Gboko,Flat,1,1,312,32,0,23200000
H0198,Cross River,Ikom,Detached Duplex,2,1,346,8,3,83800000
H0388,Ondo,Ondo,Flat,6,6,337,8,6,61600000
H0889,Ebonyi,Abakaliki,Detached Duplex,7,7,427,32,6,94100000
H0219,Oyo,Ibadan,Detached Duplex,2,3,786,3,5,198000000
H0536,Zamfara,Gusau,Detached Duplex,2,2,508,9,1,76100000
H0072,Ogun,Abeokuta,Bungalow,6,6,539,5,6,142200000
H0822,Ogun,Sagamu,Semi-Detached Duplex,3,3,80,15,4,48800000
H0061,Borno,Maiduguri,Semi-Detached Duplex,4,5,454,1,4,84500000
H0339,Akwa Ibom,Uyo,Flat,5,6,687,29,2,99200000
H0962,Taraba,Jalingo,Detached Duplex,1,2,360,2,2,65600000
H0538,Kano,Kano,Terrace Duplex,3,4,574,32,2,98700000
H0882,Adamawa,Mubi,Semi-Detached Duplex,4,4,255,31,0,39600000
H0207,Anambra,Onitsha,Detached Duplex,6,7,117,30,0,102600000
H0115,Jigawa,Dutse,Semi-Detached Duplex,3,3,435,0,3,73500000
H0077,Yobe,Damaturu,Detached Duplex,5,5,791,9,1,129700000
H0322,Edo,Auchi,Terrace Duplex,2,3,502,27,3,99000000
H0959,Bauchi,Azare,Semi-Detached Duplex,2,2,762,27,1,94600000
H0084,Ebonyi,Abakaliki,Detached Duplex,4,4,426,10,4,113400000
H0912,Yobe,Damaturu,Terrace Duplex,4,5,557,27,3,52700000
H0431,Rivers,Bonny,Flat,4,3,634,26,5,118600000
H0187,Katsina,Katsina,Semi-Detached Duplex,7,7,133,27,3,42900000
H0264,Kano,Kano,Detached Duplex,2,1,234,32,6,65900000
H0902,Kwara,Ilorin,Bungalow,2,3,796,13,4,112700000
H0739,Adamawa,Mubi,Terrace Duplex,7,7,118,16,5,40200000
H0390,Akwa Ibom,Uyo,Detached Duplex,2,3,740,4,1,191000000
H0405,Cross River,Calabar,Flat,6,6,121,30,0,38900000
H0488,Ondo,Akure,Detached Duplex,2,2,392,35,1,74600000
H0441,Kebbi,Birnin Kebbi,Detached Duplex,3,3,197,20,1,36800000
H0280,Abia,Aba,Detached Duplex,1,2,330,11,4,80700000
H0730,Sokoto,Sokoto,Terrace Duplex,2,2,391,5,4,57300000
H0678,Borno,Maiduguri,Terrace Duplex,6,6,385,15,1,55400000
H0949,Niger,Suleja,Semi-Detached Duplex,7,7,606,3,5,154500000
H0679,Gombe,Gombe,Bungalow,1,1,367,28,2,32800000
H0570,Osun,Osogbo,Terrace Duplex,2,2,355,7,5,67700000
H0526,Cross River,Calabar,Terrace Duplex,5,6,67,4,1,54900000
H0416,Edo,Auchi,Terrace Duplex,5,6,612,16,0,134800000
H0410,Sokoto,Sokoto,Detached Duplex,3,3,298,6,2,60300000
H0429,Kogi,Lokoja,Terrace Duplex,5,5,627,9,1,101200000
H0985,Kano,Kano,Bungalow,5,6,289,26,3,73200000
H0984,Ondo,Akure,Flat,2,2,496,10,4,53700000
H0885,Benue,Gboko,Terrace Duplex,7,7,719,35,4,91400000
H0357,Ondo,Akure,Detached Duplex,2,1,788,7,3,164700000
H0324,Federal Capital Territory,Abuja,Terrace Duplex,6,6,76,13,6,154700000
H0669,Katsina,Katsina,Flat,5,6,665,14,1,65000000
H0185,Benue,Gboko,Semi-Detached Duplex,3,2,127,0,1,33000000
H0632,Katsina,Katsina,Semi-Detached Duplex,5,4,309,14,2,60100000
H0228,Adamawa,Mubi,Semi-Detached Duplex,1,1,225,32,6,28500000
H0848,Nasarawa,Keffi,Detached Duplex,4,4,248,6,5,82400000
H0963,Delta,Warri,Terrace Duplex,1,2,111,1,3,49700000
H0850,Nasarawa,Keffi,Semi-Detached Duplex,2,2,65,4,1,32900000
H0568,Anambra,Onitsha,Detached Duplex,7,6,445,17,4,212400000
H0261,Ondo,Ondo,Semi-Detached Duplex,2,1,321,12,6,68400000
H0148,Zamfara,Gusau,Bungalow,7,7,463,23,4,57400000
H0376,Benue,Gboko,Terrace Duplex,4,4,294,8,0,57300000
H0927,Plateau,Bukuru,Semi-Detached Duplex,6,7,538,2,3,132500000
H0286,Kogi,Lokoja,Semi-Detached Duplex,6,5,226,30,6,51100000
H0193,Plateau,Bukuru,Semi-Detached Duplex,5,5,102,27,3,47200000
H0166,Zamfara,Gusau,Bungalow,5,4,696,1,3,75600000
H0896,Rivers,Bonny,Terrace Duplex,1,1,526,16,5,142600000
H0359,Anambra,Nnewi,Bungalow,3,2,678,34,1,122000000
H0144,Yobe,Damaturu,Detached Duplex,3,4,312,24,2,57000000
H0091,Yobe,Damaturu,Flat,3,2,127,2,0,18500000
H0310,Sokoto,Sokoto,Terrace Duplex,5,4,522,29,5,63100000
H0940,Ekiti,Ado-Ekiti,Semi-Detached Duplex,3,3,257,12,1,50500000
H0860,Benue,Gboko,Terrace Duplex,7,7,622,22,1,97900000
H0038,Taraba,Jalingo,Terrace Duplex,6,6,74,27,4,27300000
H0333,Osun,Ile-Ife,Semi-Detached Duplex,6,6,631,8,4,132700000
H0015,Rivers,Bonny,Detached Duplex,6,7,194,28,0,114400000
H0569,Cross River,Ikom,Terrace Duplex,1,1,666,9,2,106700000
H0195,Oyo,Ibadan,Semi-Detached Duplex,6,5,186,17,0,73100000
H0674,Cross River,Calabar,Terrace Duplex,7,7,603,27,2,131200000
H0761,Ogun,Abeokuta,Detached Duplex,5,6,644,3,2,248500000
H0658,Adamawa,Mubi,Terrace Duplex,3,3,136,8,6,31600000
H0824,Osun,Osogbo,Bungalow,2,2,759,30,1,85700000
H0161,Jigawa,Hadejia,Detached Duplex,3,3,350,8,5,78000000
H0941,Delta,Sapele,Detached Duplex,7,7,227,6,3,120000000
H0647,Ogun,Ijebu-Ode,Detached Duplex,5,5,565,2,6,235700000
H0793,Imo,Orlu,Terrace Duplex,5,6,223,26,2,66200000
H0283,Kano,Kano,Bungalow,3,4,449,10,6,98700000
H0009,Ondo,Ondo,Detached Duplex,2,1,686,29,5,122000000
H0182,Adamawa,Yola,Semi-Detached Duplex,1,1,653,9,3,76800000
H0223,Katsina,Katsina,Flat,4,4,72,20,3,20200000
H0711,Gombe,Gombe,Flat,1,2,769,17,1,54300000
H0752,Kwara,Ilorin,Semi-Detached Duplex,5,4,281,17,1,76400000
H0701,Borno,Maiduguri,Semi-Detached Duplex,7,7,215,16,5,58600000
H0459,Jigawa,Dutse,Detached Duplex,6,6,309,16,3,71800000
H0531,Enugu,Enugu,Terrace Duplex,2,1,171,13,0,46600000
H0722,Osun,Ile-Ife,Detached Duplex,5,4,795,4,1,158000000
H0698,Lagos,Lekki,Bungalow,7,7,66,18,6,183100000
H0582,Jigawa,Hadejia,Terrace Duplex,3,3,158,19,5,32000000
H0154,Bauchi,Bauchi,Semi-Detached Duplex,6,5,328,35,1,50800000
H0709,Gombe,Gombe,Semi-Detached Duplex,2,2,408,8,2,54200000
H0584,Ekiti,Ado-Ekiti,Flat,2,2,491,25,5,47800000
H0101,Niger,Minna,Detached Duplex,1,1,218,33,2,47900000
H0544,Akwa Ibom,Eket,Terrace Duplex,5,5,85,19,3,46500000
H0875,Rivers,Bonny,Detached Duplex,2,1,327,1,4,149300000
H0307,Kwara,Ilorin,Terrace Duplex,7,7,646,1,3,134800000
H0946,Benue,Gboko,Semi-Detached Duplex,7,7,675,7,1,129100000
H0506,Kano,Kano,Semi-Detached Duplex,3,3,485,32,1,99900000
H0972,Plateau,Jos,Detached Duplex,6,7,106,26,0,63600000
H0791,Katsina,Katsina,Terrace Duplex,1,1,214,23,1,25800000
H0145,Jigawa,Dutse,Detached Duplex,1,1,279,11,0,49300000
H0301,Plateau,Jos,Detached Duplex,1,1,595,24,1,102200000
H0610,Cross River,Ikom,Semi-Detached Duplex,7,7,321,2,5,107900000
H0717,Yobe,Damaturu,Bungalow,6,6,459,12,6,64100000
H0332,Cross River,Ikom,Bungalow,3,3,162,28,6,39900000
H0986,Anambra,Awka,Semi-Detached Duplex,7,7,316,16,5,115300000
H0415,Yobe,Damaturu,Terrace Duplex,7,7,559,24,6,66200000
H0125,Ogun,Sagamu,Semi-Detached Duplex,5,5,294,35,4,90600000
H0248,Rivers,Bonny,Bungalow,2,2,115,3,5,51200000
H0257,Kano,Kano,Semi-Detached Duplex,4,3,707,19,5,148600000
H0782,Katsina,Katsina,Bungalow,7,7,73,8,4,39000000
H0196,Ebonyi,Abakaliki,Semi-Detached Duplex,7,7,450,9,4,112400000
H0369,Borno,Maiduguri,Bungalow,4,3,58,6,3,21000000
H0434,Gombe,Gombe,Terrace Duplex,5,5,476,13,0,62100000
H0430,Borno,Maiduguri,Flat,4,3,664,3,6,68300000
H0802,Cross River,Calabar,Semi-Detached Duplex,2,3,655,31,3,127300000
H0423,Edo,Auchi,Bungalow,7,6,417,29,2,81800000
H0381,Benue,Gboko,Terrace Duplex,3,2,81,12,5,26100000
H0231,Delta,Warri,Flat,2,1,523,28,2,72400000
H0757,Oyo,Ibadan,Flat,3,3,387,16,6,60000000
H0968,Imo,Orlu,Flat,5,4,307,28,3,54300000
